,description,value
1144,"<html><body><p>Modern vehicles have a diagnostic interface for off-board diagnostics, which makes it possible to connect a computer (client) or diagnostics tool, which is referred to as tester, to the bus system of the vehicle. Thus, the messages defined in UDS can be sent to the controllers which must provide the predetermined UDS services. This makes it possible to interrogate the fault memory of the individual control units in the vehicle or to update them with a new firmware.</p><p>Diagnostics Communication Protocol Module developer role deals with SW development which fits the context mentioned above along with detailed SW development activities mentioned below.</p><p>•Analyze customer requirements or spec proposal<br/>•Software design and implementation for customer project specification<br/>•Interface between customer project, Platform and SW development group<br/>•Integration, test and delivery of UDS [Unified Diagnostic Services] based CAN network communication related software project development along with planning, coordination and release for series production<br/>•Follow company development and quality processes<br/>•Investigate for the issues or problem during the project development and after production.<br/>•Department task support / coordination</p><p><strong>Skill Set:</strong></p><p>•Software designing experience in similar area of automobile industry/institute<br/>•CAN &amp; UDS communication skill<br/>•Knowledge about ISO14229, 14230 and UDS standard network protocols<br/>•C design experience<br/>•Electronic circuit knowledge<br/>•Good documentation/report ability<br/>•Good in MS Office software</p></body></html>",Bengaluru
1145,"<html><body><p>Modern vehicles have a diagnostic interface for off-board diagnostics, which makes it possible to connect a computer (client) or diagnostics tool, which is referred to as tester, to the bus system of the vehicle. Thus, the messages defined in UDS can be sent to the controllers which must provide the predetermined UDS services. This makes it possible to interrogate the fault memory of the individual control units in the vehicle or to update them with a new firmware.</p><p>Diagnostics Communication Protocol Module developer role deals with SW development which fits the context mentioned above along with detailed SW development activities mentioned below.</p><p>•Analyze customer requirements or spec proposal<br/>•Software design and implementation for customer project specification<br/>•Interface between customer project, Platform and SW development group<br/>•Integration, test and delivery of UDS [Unified Diagnostic Services] based CAN network communication related software project development along with planning, coordination and release for series production<br/>•Follow company development and quality processes<br/>•Investigate for the issues or problem during the project development and after production.<br/>•Department task support / coordination</p><p><strong>Skill Set:</strong></p><p>•Software designing experience in similar area of automobile industry/institute<br/>•CAN &amp; UDS communication skill<br/>•Knowledge about ISO14229, 14230 and UDS standard network protocols<br/>•C design experience<br/>•Electronic circuit knowledge<br/>•Good documentation/report ability<br/>•Good in MS Office software</p></body></html>",Bengaluru
1146,"<html><body><p>• Work for next generation braking platform<br/>• Work on Application Software Development<br/>• Model-based SW development using ASCET<br/>• Develop SW meeting those requirements<br/>• Development using standardized ASPICE model including SW-Architecture in EA• Unit test &amp; Component test the developed SW<br/>• Work in ASCET, DOORS, ALM, Rational Jazz, RTC, Labcar<br/>• On Spec &amp; On time delivery of developed SW<br/>• Knowledge in Automotive Safety Standards (ISO26262)</p></body></html>",Bengaluru
1147,"<html><body><p>• Work for next generation braking platform, vehicle control algorithms<br/>• Work on Application Software Development<br/>• Model-based SW development using ASCET<br/>• Develop requirements for customers and develop SW meeting those requirements<br/>• Development using standardized ASPICE model including SW-Architecture in EA• Unit test &amp; Component test the developed SW<br/>• Work in ASCET, ALM, Rational Jazz, RTC, Labcar<br/>• On Spec &amp; On time delivery of developed SW<br/>• Support application engineers in vehicle testing</p><p>• Knowledge in Automotive Safety Standards (ISO26262)</p></body></html>",Bengaluru
1148,"<html><body><p><strong>Department: RBEI / ESH</strong></p><p><strong> </strong></p><p><strong>Experience level:  1 -2 years</strong></p><p><strong> </strong></p><p><strong>Location: Ban</strong></p><p> </p><p><strong>Responsibilities:</strong></p><p>NETWORK team is responsible for setting-up, delivery and release of the NETWORK related software (NET) mainly on Flexray and CAN Protocols.  Each NET-PR in the team will be accompanying the complete software project (CSW) development from Start of Development (SoD) until the End of Verification (EV).</p><p><strong> </strong></p><p><strong>Your tasks:</strong></p><ul><li>Analyze and interpret functional requirements from available sources.</li><li>With the inputs as requirements from application function- estimation, analysis and feasibility to be cross-verified.</li><li>Design, Implement, Unit test, Component test and closure of the Network (CAN, CAN-FD, Flex-ray) tasks with complete Process Adherence.</li><li>BCT configuration for ARXML provided by OEM. Generation of code – and verification through BSWSIM.</li><li>Knowledge on Network design methods. High level design to be done using Enterprise Architecture.</li></ul><p><strong> </strong></p><p><strong>Your profile:</strong></p><ul><li>Qualification : BE/B.Tech/ME/M.Tech in  E&amp;C, E&amp;E, Instrumentation Technology</li></ul><p> </p><p><strong>Skills needed</strong></p><ul><li>Programming skills: C programming</li><li>Good knowledge on CAN, CAN-FD and Flexray logic developments.</li><li>ALM usage</li><li>CAN TATA – BSWSIM – Enterprise architecture</li><li>Basic Knowledge on AUTOSAR Core modules.</li><li>Basics on NETWORK TP protocols</li><li>Experience on Canalyser, CANOE  Tools</li><li>CAPL scripting  (Basic)</li><li>Good communication and interpersonal skills</li><li>Willingness &amp; passion to learn</li><li>Hands-on experience in debugging</li></ul><p>·       Should be able to propose value adds and ideas for improvement.</p><p>·       Basic knowledge of ASPICE, Functional Safety, tools like DOORS, Quality Center, XCP measurements, would be an added advantage.</p></body></html>",Bengaluru
1149,"<html><body><p><strong>Department: RBEI / ESH</strong></p><p><strong> </strong></p><p><strong>Experience level:  1 -2 years</strong></p><p><strong> </strong></p><p><strong>Location: Ban</strong></p><p> </p><p><strong>Responsibilities:</strong></p><p>NETWORK team is responsible for setting-up, delivery and release of the NETWORK related software (NET) mainly on Flexray and CAN Protocols.  Each NET-PR in the team will be accompanying the complete software project (CSW) development from Start of Development (SoD) until the End of Verification (EV).</p><p><strong> </strong></p><p><strong>Your tasks:</strong></p><ul><li>Analyze and interpret functional requirements from available sources.</li><li>With the inputs as requirements from application function- estimation, analysis and feasibility to be cross-verified.</li><li>Design, Implement, Unit test, Component test and closure of the Network (CAN, CAN-FD, Flex-ray) tasks with complete Process Adherence.</li><li>BCT configuration for ARXML provided by OEM. Generation of code – and verification through BSWSIM.</li><li>Knowledge on Network design methods. High level design to be done using Enterprise Architecture.</li></ul><p><strong> </strong></p><p><strong>Your profile:</strong></p><ul><li>Qualification : BE/B.Tech/ME/M.Tech in  E&amp;C, E&amp;E, Instrumentation Technology</li></ul><p> </p><p><strong>Skills needed</strong></p><ul><li>Programming skills: C programming</li><li>Good knowledge on CAN, CAN-FD and Flexray logic developments.</li><li>ALM usage</li><li>CAN TATA – BSWSIM – Enterprise architecture</li><li>Basic Knowledge on AUTOSAR Core modules.</li><li>Basics on NETWORK TP protocols</li><li>Experience on Canalyser, CANOE  Tools</li><li>CAPL scripting  (Basic)</li><li>Good communication and interpersonal skills</li><li>Willingness &amp; passion to learn</li><li>Hands-on experience in debugging</li></ul><p>·       Should be able to propose value adds and ideas for improvement.</p><p>·       Basic knowledge of ASPICE, Functional Safety, tools like DOORS, Quality Center, XCP measurements, would be an added advantage.</p></body></html>",Bengaluru
1150,"<html><body><p><strong>Responsibility:</strong></p><p>Responsible for developing and maintaining the features in Matlab software and validation of the feature of JLR customer projects SW for modular brake’s new product line<strong> </strong></p><p><strong>Tasks: </strong></p><p>A technically oriented team player whose main tasks are:</p><p>·       Create the parameter file and perform the tuning validations in PC based environment and deliver the same for SIL based Simulation set up for the various Projects.</p><p>·       Develop and maintain the features in Matlab and Simulink environment for the PC based validation of Active Safety features in the vehicle using Virtual test drive tools like CarMaker, CarSim etc.</p><p>·       Development and validation with customer in loop.<br/> </p><p><strong>Requirements: </strong></p><p>·       Strong understanding in C, Matlab, Simulink.</p><p>·       Hands-on experience in creation of Simulink models and Matlab Scripts.</p><p>·       Experience in handling System and Software development life cycle.</p><p>·       Ability to collaborate with architects, experts, developers and end users for understanding</p><p>          the requirements.</p><p>·       Awareness on CarMaker, CarSim is an additional advantage.</p><p>·       Worked with Configuration management tools like SVN, ClearCase, ALM etc</p><p>·       Strong debugging skills.</p><p>·       Willingness to provide hands on guidance to the project teams as part of steering the</p><p>    projects forward.</p><p>·       Excellent Communication and Interpersonal skills.</p><p>·       Independent, solution oriented method of working.</p><p> </p></body></html>",Bengaluru
1151,"<html><body><p>• Work for next generation braking platform, vehicle control algorithms<br/>• Work on Application Software Development<br/>• Model-based SW development using ASCET<br/>• Develop requirements for customers and develop SW meeting those requirements<br/>• Development using standardized ASPICE model including SW-Architecture in EA• Unit test &amp; Component test the developed SW<br/>• Work in ASCET, ALM, Rational Jazz, RTC, Labcar<br/>• On Spec &amp; On time delivery of developed SW<br/>• Support application engineers in vehicle testing</p><p>• Knowledge in Automotive Safety Standards (ISO26262)</p></body></html>",Bengaluru
1152,"<html><body><p>Requirement Code: Test Engineer<br/>Department: RBEI / ESH<br/>Experience level:  2-3 years<br/>Location: Ban</p><p><br/>Responsibilities:<br/>Responsible for software and system testing of JLR projects SW for modular brake’s new product line<strong> </strong></p><p><br/>Your tasks:</p><p>• System and software level Requirement Analysis<br/>• Test Design and Specification Development for the requirement<br/>• Testing of Software and System requirement and test report generation<br/>• Test automation using PERL for the manual/semi-automatic test cases</p><p><br/>Skills needed:<br/>• Exposure to Automotive domain<br/>• Test experience in SDLC, V-model and AGILE based software Development<br/>• Experience in HiL testing [Open &amp; Closed loop testing]<br/>• Automotive system knowledge (ECU, Sensors, Software) and technical mindset<br/>• Hands on experience in test development and automation<br/>• Knowledge in CAN, Flexray and UDS protocol<br/>• Knowledge in PERL, CAPL scripting<br/>• ISTQB certification is an added advantage<br/>• Good communication and interpersonal skills<br/>• Willingness &amp; passion to learn</p></body></html>",Bengaluru
1153,"<html><body><p>• Work for next generation braking platform, vehicle control algorithms<br/>• Work on Application Software Development<br/>• Model-based SW development using ASCET<br/>• Develop requirements for customers and develop SW meeting those requirements<br/>• Development using standardized ASPICE model including SW-Architecture in EA• Unit test &amp; Component test the developed SW<br/>• Work in ASCET, ALM, Rational Jazz, RTC, Labcar<br/>• On Spec &amp; On time delivery of developed SW<br/>• Support application engineers in vehicle testing</p><p>• Knowledge in Automotive Safety Standards (ISO26262)</p></body></html>",Bengaluru
1154,"<html><body><p>• Work for next generation braking platform, vehicle control algorithms<br/>• Work on Application Software Development<br/>• Model-based SW development using ASCET<br/>• Develop requirements for customers and develop SW meeting those requirements<br/>• Development using standardized ASPICE model including SW-Architecture in EA• Unit test &amp; Component test the developed SW<br/>• Work in ASCET, ALM, Rational Jazz, RTC, Labcar<br/>• On Spec &amp; On time delivery of developed SW<br/>• Support application engineers in vehicle testing</p><p>• Knowledge in Automotive Safety Standards (ISO26262)</p></body></html>",Bengaluru
1155,"<html><body><p><strong>Requirement Code: <u>Software Delivery Lead </u></strong><strong> </strong></p><p><strong>Department: RBEI / ESH </strong></p><p><strong>Experience level:  8 to 12 years</strong></p><p><strong>Location: Ban</strong></p><p><strong>Responsibilities:</strong></p><p>You will be responsible for SW Delivery Planning, Requirement Management, Risk Analysis, Project Tracking of customer projects for Active safety product line.</p><p>Planning and Coordination with Project Manager and Development team for Project deliverables.</p><p><strong>Your tasks:</strong></p><ul><li><p>Planning and monitoring of deadlines, development expenses, resources</p></li><li><p>Attaining the SW targets (Quality, Cost, Time)</p></li><li><p>Coordination with the Project managers and meet the agreed timelines</p></li><li><p>SW Delivery Planning, Requirement Management, Risk Analysis, Project Tracking</p></li><li><p>Compliance to deadlines with required quality of deliverables·</p></li><li><p>Monthly update and presentation of the Cockpit Chart (CPC) in project Meetings and corrective/preventive action planning. Escalation as and when required within SW development</p></li><li><p>Responsible for the team competence and people management aspects</p></li><li><p>Will lead the Core Team in technical content exchange between Feature Team.</p></li><li><p> Will drive Engineering adaptations in Core areas which must be deployed in all verticals.</p></li><li><p>Deployment of such topics involving certain capacities of a Core Team member should be discussed with respective Scrum Master and Load balancing of the Member should be taken care.</p></li><li><p>Supports PCM to create Story and participates in CCB.</p></li><li><p>Supports in Technical discussion at first level for Defect discussion, Requirement discussions.</p></li><li><p>Responsible for Team competency development and skill management </p></li><li><p>Will ensure Lessons Learnt is captured in the respective Core topics.</p></li><li><p>Regular feedback of the team member and goal discussion </p></li><li>Qualification / profile:   BE/B.Tech/ME/M.Tech in  E&amp;C, E&amp;E, Instrumentation Technology</li></ul><p><strong>Skills needed</strong></p><ul><li>Extensive system knowledge (Vehicle, ECU, Sensors, Software)</li><li>Working experience in Electronic control systems.</li><li>Knowledge / experience with Quality standards (ECE-R13, FMVSS, ISO26262,     CMMI, ASPICE)</li><li>Taking Initiatives and ability to work as a team</li><li>Presentation skills and direct OE interfacing.</li><li>Experience in Embedded System/SW Project Management</li><li>Experience in handling at least 2-3 complete life cycle projects</li><li>Experience in working with International Teams/Inter-Cultural Exposure</li><li>Ability to understand and take decision on technical proposals made by experts</li><li>Excellent Communication and Interpersonal skills</li><li>Team management </li><li>Good communication and interpersonal skills</li><li>Willingness &amp; passion to learn</li></ul></body></html>",Bengaluru
1156,"<html><body><p>• Work for next generation braking platform, vehicle control algorithms<br/>• Work on Application Software Development<br/>• Model-based SW development using ASCET<br/>• Develop requirements for customers and develop SW meeting those requirements<br/>• Development using standardized ASPICE model including SW-Architecture in EA• Unit test &amp; Component test the developed SW<br/>• Work in ASCET, ALM, Rational Jazz, RTC, Labcar<br/>• On Spec &amp; On time delivery of developed SW<br/>• Support application engineers in vehicle testing</p><p>• Knowledge in Automotive Safety Standards (ISO26262)</p></body></html>",Bengaluru
1157,"<html><body><ul><li>Work for new generation braking system on specific products in Active safety - ESP, iBooster, new upcoming products</li><li>Work on Software Development for Diagnosis/Communication/Network/HMI/RTE</li><li>Understand Customer requirements and develop SW meeting those requirements</li><li>Development using standardized ASPICE model including SW-Architecture in EA</li><li>Unit test, Component test &amp; Integration Test of developed SW</li><li>Testing the SW in HIL &amp; SIL environment</li><li>ERRATA Rating &amp; Defect Analysis</li><li>On Spec &amp; On time delivery of developed SW</li><li>On-site working as needed</li><li>Must to have a good knowledge of embedded C programming.</li><li>Must to have worked on any of the 8/16/32 bit microcontroller/ microprocessor for data acquisition using ADC and to control the external devices like motor and other peripheral devices.</li><li>Good communication and presentation skills.</li></ul><p>Should be able to perform the following:<br/>1. To design and write the embedded software as per the requirements of the client<br/>2. If the existing system needs to changed, then they are responsible for interpreting the requirements and changes that are needed in the software and develop specifications and discuss it with the seniors<br/>3. To review the implemented system, understand and interpret the error reports from internal staff and external clients, troubleshoot and debug them in the embedded environment and provide instant fixtures for the same<br/>4. To maintain and document the software programs and resolutions given for the technical issues and any other relevant data that may be of importance<br/>5. To interact effectively with the team members and contribute in increasing their knowledge and understanding their problems<br/>6. To work in close association with the clients to understand their needs and to address the issues related to the process</p></body></html>",Bengaluru
1158,"<html><body><ul><li>Work for new generation braking system on specific products in Active safety - ESP, iBooster, new upcoming products</li><li>Work on Software Development for Diagnosis/Communication/Network/HMI/RTE</li><li>Understand Customer requirements and develop SW meeting those requirements</li><li>Development using standardized ASPICE model including SW-Architecture in EA</li><li>Unit test, Component test &amp; Integration Test of developed SW</li><li>Testing the SW in HIL &amp; SIL environment</li><li>ERRATA Rating &amp; Defect Analysis</li><li>On Spec &amp; On time delivery of developed SW</li><li>On-site working as needed</li><li>Must to have a good knowledge of embedded C programming.</li><li>Must to have worked on any of the 8/16/32 bit microcontroller/ microprocessor for data acquisition using ADC and to control the external devices like motor and other peripheral devices.</li><li>Good communication and presentation skills.</li></ul><p>Should be able to perform the following:<br/>1. To design and write the embedded software as per the requirements of the client<br/>2. If the existing system needs to changed, then they are responsible for interpreting the requirements and changes that are needed in the software and develop specifications and discuss it with the seniors<br/>3. To review the implemented system, understand and interpret the error reports from internal staff and external clients, troubleshoot and debug them in the embedded environment and provide instant fixtures for the same<br/>4. To maintain and document the software programs and resolutions given for the technical issues and any other relevant data that may be of importance<br/>5. To interact effectively with the team members and contribute in increasing their knowledge and understanding their problems<br/>6. To work in close association with the clients to understand their needs and to address the issues related to the process</p></body></html>",Bengaluru
1159,"<html><body><ul><li>Work for new generation braking system on specific products in Active safety - ESP, iBooster, new upcoming products</li><li>Work on Software Development for Diagnosis/Communication/Network/HMI/RTE</li><li>Understand Customer requirements and develop SW meeting those requirements</li><li>Development using standardized ASPICE model including SW-Architecture in EA</li><li>Unit test, Component test &amp; Integration Test of developed SW</li><li>Testing the SW in HIL &amp; SIL environment</li><li>ERRATA Rating &amp; Defect Analysis</li><li>On Spec &amp; On time delivery of developed SW</li><li>On-site working as needed</li><li>Must to have a good knowledge of embedded C programming.</li><li>Must to have worked on any of the 8/16/32 bit microcontroller/ microprocessor for data acquisition using ADC and to control the external devices like motor and other peripheral devices.</li><li>Good communication and presentation skills.</li></ul><p>Should be able to perform the following:<br/>1. To design and write the embedded software as per the requirements of the client<br/>2. If the existing system needs to changed, then they are responsible for interpreting the requirements and changes that are needed in the software and develop specifications and discuss it with the seniors<br/>3. To review the implemented system, understand and interpret the error reports from internal staff and external clients, troubleshoot and debug them in the embedded environment and provide instant fixtures for the same<br/>4. To maintain and document the software programs and resolutions given for the technical issues and any other relevant data that may be of importance<br/>5. To interact effectively with the team members and contribute in increasing their knowledge and understanding their problems<br/>6. To work in close association with the clients to understand their needs and to address the issues related to the process</p></body></html>",Bengaluru
1160,"<html><body><ul><li>Work for new generation braking system on specific products in Active safety - ESP, iBooster, new upcoming products</li><li>Work on Software Development for Diagnosis/Communication/Network/HMI/RTE</li><li>Understand Customer requirements and develop SW meeting those requirements</li><li>Development using standardized ASPICE model including SW-Architecture in EA</li><li>Unit test, Component test &amp; Integration Test of developed SW</li><li>Testing the SW in HIL &amp; SIL environment</li><li>ERRATA Rating &amp; Defect Analysis</li><li>On Spec &amp; On time delivery of developed SW</li><li>On-site working as needed</li><li>Must to have a good knowledge of embedded C programming.</li><li>Must to have worked on any of the 8/16/32 bit microcontroller/ microprocessor for data acquisition using ADC and to control the external devices like motor and other peripheral devices.</li><li>Good communication and presentation skills.</li></ul><p>Should be able to perform the following:<br/>1. To design and write the embedded software as per the requirements of the client<br/>2. If the existing system needs to changed, then they are responsible for interpreting the requirements and changes that are needed in the software and develop specifications and discuss it with the seniors<br/>3. To review the implemented system, understand and interpret the error reports from internal staff and external clients, troubleshoot and debug them in the embedded environment and provide instant fixtures for the same<br/>4. To maintain and document the software programs and resolutions given for the technical issues and any other relevant data that may be of importance<br/>5. To interact effectively with the team members and contribute in increasing their knowledge and understanding their problems<br/>6. To work in close association with the clients to understand their needs and to address the issues related to the process</p></body></html>",Bengaluru
1161,"<html><body><p>• 4 - 8 years Experience in HiL testing [Open &amp; Closed loop testing], Simulation based testing<br/>• Perl/Python/CAPL scripting experience<br/>• Knowledge of Vector tools like CANoe, CANape<br/>• Awareness on automotive protocols like CAN, Flexray, Ethernet, KWP2000, LIN, UDS…<br/>• Awareness on Autosar framework/standards<br/>• Good knowledge of Aspice / CMMI / ISO quality standards<br/>• Good awareness of hardware<br/>• Automotive system knowledge (ECU, Sensors, Software) and technical mindset<br/>• Excellent Communication and Interpersonal skills<br/>• Awareness on project life cycle<br/>• Hands on experience in test development and automation<br/>• ISTQB Certification</p></body></html>",Bengaluru
1162,"<html><body><p><strong>Product Owner Opportunity @ MS/ESH</strong></p><p><strong>Job Description</strong></p><p><strong>Candidate Characteristics </strong></p><p>·        Formulate strategy/approach to guide Teams’ achievement of their target outcomes (Predictability, Quality, Efficiency) through application of agile methods</p><p>·        Flexibility in wearing different hats such as a Servant Leader, Coach, Facilitator, Mentor, and Change agent</p><p>·        Provide thought leadership and aid management in designing/enabling the underlying system to support application &amp; sustenance of agile practices and culture </p><p>·        Facilitate identification and removal of systemic impediments for adoption of agile methods</p><p>·        Familiar with a wide-range of Lean-Agile methodologies, Scaling frameworks and practices</p><p>·        Ability to apply the most fitting methodologies to different challenges such as combined software and system development</p><p>·        Strong ability to work in a team (Empathetic, adaptive, and positive mind-set)</p><p>·        Business-minded, performance-driven, results-oriented, conflict resolution skills</p><p><strong>Tactical/Operational:</strong></p><ul><li>Serve as the voice of the client.</li><li>Work with internal and external customers to analyze the needs and align product roadmap to strategic goals.</li><li>Owns the product <a href=""https://www.scrumdesk.com/start/manual-for-scrumdesk-start/roadmap-fundamentals/"">roadmap</a>.</li><li>Develop scope and define backlog items (<a href=""https://www.scrumdesk.com/epic-epically/"">epics</a>/features/<a href=""https://www.scrumdesk.com/start/manual-for-scrumdesk-start/start-user-story-map/"">user stories</a>) that guide the Agile software development team.</li><li>Solve product-related problems, make decisions, complete trade-off analysis to stay on track towards business deliverable commitments.</li><li>Draft key <a href=""https://www.scrumdesk.com/start/manual-for-scrumdesk-start/okr-objectives-in-scrumdesk/"">objectives and results</a>, strategies and apply the data for the product to make business decisions.</li><li>Possess a fundamental understanding of end-to-end customer experience integration and dependencies.</li><li>Collaborate with stakeholders during the visioning and concept development of a product.</li><li>Accountable for the created product(s), delivering in the product model and communicating the product needs with business partners.</li><li>Assess value, develops cases, and prioritizes stories, epics and themes to ensure work focuses on those with a maximum value that are aligned with product strategy.</li><li>Identifies and helps the client understand the business model, value and value proposition.</li><li>Develop and maintain an appropriately prioritized backlog of user stories for implementation.</li><li>Act as an ambassador for the product internally and externally and as the primary contact for queries related to the product.</li><li>Develop appropriately detailed specifications for the product features so they are clearly understood by the development teams.</li><li>A leader of the team.</li><li>Represents team in front of stakeholders, clients or users.</li><li>A member of the team.</li><li>Work closely with product management and senior management in order to create a product that fits the company portfolio.</li><li>Research and analyze market, the users, and the roadmap for the product</li><li>Follow our competitors and the industry</li><li>Increase an understanding of  Agile practices, Lean Startup, new technologies opportunities and other new trends.</li></ul></body></html>",Bengaluru
1163,"<html><body><p><strong>Product Owner Opportunity @ MS/ESH</strong></p><p><strong>Job Description</strong></p><p><strong>Candidate Characteristics </strong></p><p>·        Formulate strategy/approach to guide Teams’ achievement of their target outcomes (Predictability, Quality, Efficiency) through application of agile methods</p><p>·        Flexibility in wearing different hats such as a Servant Leader, Coach, Facilitator, Mentor, and Change agent</p><p>·        Provide thought leadership and aid management in designing/enabling the underlying system to support application &amp; sustenance of agile practices and culture </p><p>·        Facilitate identification and removal of systemic impediments for adoption of agile methods</p><p>·        Familiar with a wide-range of Lean-Agile methodologies, Scaling frameworks and practices</p><p>·        Ability to apply the most fitting methodologies to different challenges such as combined software and system development</p><p>·        Strong ability to work in a team (Empathetic, adaptive, and positive mind-set)</p><p>·        Business-minded, performance-driven, results-oriented, conflict resolution skills</p><p><strong>Tactical/Operational:</strong></p><ul><li>Serve as the voice of the client.</li><li>Work with internal and external customers to analyze the needs and align product roadmap to strategic goals.</li><li>Owns the product <a href=""https://www.scrumdesk.com/start/manual-for-scrumdesk-start/roadmap-fundamentals/"">roadmap</a>.</li><li>Develop scope and define backlog items (<a href=""https://www.scrumdesk.com/epic-epically/"">epics</a>/features/<a href=""https://www.scrumdesk.com/start/manual-for-scrumdesk-start/start-user-story-map/"">user stories</a>) that guide the Agile software development team.</li><li>Solve product-related problems, make decisions, complete trade-off analysis to stay on track towards business deliverable commitments.</li><li>Draft key <a href=""https://www.scrumdesk.com/start/manual-for-scrumdesk-start/okr-objectives-in-scrumdesk/"">objectives and results</a>, strategies and apply the data for the product to make business decisions.</li><li>Possess a fundamental understanding of end-to-end customer experience integration and dependencies.</li><li>Collaborate with stakeholders during the visioning and concept development of a product.</li><li>Accountable for the created product(s), delivering in the product model and communicating the product needs with business partners.</li><li>Assess value, develops cases, and prioritizes stories, epics and themes to ensure work focuses on those with a maximum value that are aligned with product strategy.</li><li>Identifies and helps the client understand the business model, value and value proposition.</li><li>Develop and maintain an appropriately prioritized backlog of user stories for implementation.</li><li>Act as an ambassador for the product internally and externally and as the primary contact for queries related to the product.</li><li>Develop appropriately detailed specifications for the product features so they are clearly understood by the development teams.</li><li>A leader of the team.</li><li>Represents team in front of stakeholders, clients or users.</li><li>A member of the team.</li><li>Work closely with product management and senior management in order to create a product that fits the company portfolio.</li><li>Research and analyze market, the users, and the roadmap for the product</li><li>Follow our competitors and the industry</li><li>Increase an understanding of  Agile practices, Lean Startup, new technologies opportunities and other new trends.</li></ul></body></html>",Bengaluru
1164,"<html><body><ul><li>Work for new generation braking system on specific products in Active safety - ESP, iBooster, new upcoming products</li><li>Work on Software Development for Diagnosis/Communication/Network/HMI/RTE</li><li>Understand Customer requirements and develop SW meeting those requirements</li><li>Development using standardized ASPICE model including SW-Architecture in EA</li><li>Unit test, Component test &amp; Integration Test of developed SW</li><li>Testing the SW in HIL &amp; SIL environment</li><li>ERRATA Rating &amp; Defect Analysis</li><li>On Spec &amp; On time delivery of developed SW</li><li>On-site working as needed</li><li>Must to have a good knowledge of embedded C programming.</li><li>Must to have worked on any of the 8/16/32 bit microcontroller/ microprocessor for data acquisition using ADC and to control the external devices like motor and other peripheral devices.</li><li>Good communication and presentation skills.</li></ul><p>Should be able to perform the following:<br/>1. To design and write the embedded software as per the requirements of the client<br/>2. If the existing system needs to changed, then they are responsible for interpreting the requirements and changes that are needed in the software and develop specifications and discuss it with the seniors<br/>3. To review the implemented system, understand and interpret the error reports from internal staff and external clients, troubleshoot and debug them in the embedded environment and provide instant fixtures for the same<br/>4. To maintain and document the software programs and resolutions given for the technical issues and any other relevant data that may be of importance<br/>5. To interact effectively with the team members and contribute in increasing their knowledge and understanding their problems<br/>6. To work in close association with the clients to understand their needs and to address the issues related to the process</p></body></html>",Bengaluru
1165,"<html><body><p>• Work for next generation braking platform, vehicle control algorithms<br/>• Work on Application Software Development<br/>• Model-based SW development using ASCET<br/>• Develop requirements for customers and develop SW meeting those requirements<br/>• Development using standardized ASPICE model including SW-Architecture in EA• Unit test &amp; Component test the developed SW<br/>• Work in ASCET, ALM, Rational Jazz, RTC, Labcar<br/>• On Spec &amp; On time delivery of developed SW<br/>• Support application engineers in vehicle testing</p><p>• Knowledge in Automotive Safety Standards (ISO26262)</p></body></html>",Bengaluru
1166,"<html><body><p><strong>Tasks / Responsibilities: </strong></p><ul><li><p>Discuss with customer in Germany and come out with the SW requirements</p></li><li><p>Technical co-ordination: Definition of technical requirements and the work packages in collaboration with Partners.</p></li><li><p>Design and development of SW architecture</p></li><li><p>SW development and SW validation in field</p></li></ul><p><strong>Expected skill set</strong><em>:</em></p><ul><li><p>Hands on experience in developing  embedded SW for middleware / device drivers, board bring up, communication protocols implementation.</p></li><li><p>High expertise in C / C++ programming<em> </em></p></li><li><p>Working knowledge of architecture &amp; design tools for embedded development</p></li><li><p>Experience with agile development methodologies</p></li><li><p>Connectivity and IoT development experience would be added added advantage   </p></li></ul><p><strong>Softskills: </strong></p><ul><li><p>Must possess excellent communication and problem-solving skills.</p></li><li><p>Must be a team player with ability to guide a set of technical teams.</p></li></ul></body></html>",Bengaluru
1167,"<html><body><p>-       Good hands-on expertise in Python and PyQt5 GUI development.<br/>-       Hands on experience in C# and .net programming language(nice to have)<br/>-       Experience in both windows and Linux<br/>-       Experience in tools like SQUISH (nice to have)<br/>-       working with Source Control tools (Bitbucket, GITHub,SVN etc.,) and documentation tools (eg., sphynix,Doxygen etc)<br/>-       Integration, testing and validation procedures<br/>-       Motivated  team player within an  agile development process</p></body></html>",Bengaluru
1168,"<html><body><p>Ensuring the deployment of the control system -based on Ubuntu on different platforms for edge and cloud applications</p><p>·       Analysis and reproduction of error patterns in the system context (support)</p><p>·       3rd level product and application support for application engineers</p><p>·        Planning, description, execution and documentation of system tests including test automation</p><p>·       Independent way of working</p><p>·       Thinking beyond the written specifications (customer oriented work)</p><p>·       Application experience Linux Ubuntu Core,</p><p>·       Application experience with real-time operating systems</p><p>·       Application experience with Azure and AWS (Amazon),</p><p>·       Application experience with Linux container concepts such as Snap and Docker.</p><p>·       Basic programming skills in the Linux environment (including C++, Python) and in test automation</p></body></html>",Bengaluru
